Title,Author,Date,Period,Mode,Genre,Nationality,Pseudonym,Publisher,Publishing House,City of Publication,Location/Street of Publication,Role (Central/Peripheral/Influence),Authority,Filename,Full Text Source,Illustrator,Translator,eBook Source,More Info,Notes,eText Publisher,eBook No.,eText Pub date,Date Accessed,Editor,Edition,color_word_list,color_word_summary
The Son In The Storm. A Tale,"Siddons, Henry",1809,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,,,,,,,,,,,
"Sir Francis Darrell, Or, The Vortex. A Novel","Dallas, Robert Charles",1810,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://goo.gl/hrbya3,,,,,,,,,,
"Fatal Vows, Or, The False Monk. A Romance","Lathom, Francis",1810,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://goo.gl/cNB8Hw,,,,,,,,,,
"A Suffolk Tale, Or, The Perfidious Guardian","Roche, John Hamilton",1810,Romantic,Novel,Gothic,,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/suffolktaleorper01roch,,,,,,,,,,
Review Of Maturin'S Fatal Revenge,"Scott, Sir Walter",1810,Romantic,Theory & Criticism,Review,Scottish,,,,,,,"Norton, Gothic Readings",,,,,,,,,,,,,,,
Zastrozzi. A Romance,"Shelley, Percy",1810,Romantic,Novella,Gothic,English,,,,,,Central,"Tracy, The Gothic Novel (via Lawrence Evalyn)",ShelleyPercy_Zastrozzi_GutenbergAus.txt,http://gutenberg.net.au/ebooks06/0606461h.html,,,,https://en.wikipedia.org/wiki/Zastrozzi,,Project Gutenberg Australia,0606461h.html,Aug-06,21-Mar-17,"Scott, Richard",,"['pitchy', 'straw', 'natural', 'white', 'lurid', 'yellowish', 'white', 'marble', 'flinty', 'grey', 'sanguine', 'red', 'pitchy', 'snowy', 'silvery', 'natural', 'grey', 'ensanguined', 'black', 'black', 'silvery', 'black', 'white', 'black', 'black']","{'pitchy': 2, 'straw': 1, 'natural': 2, 'white': 3, 'lurid': 1, 'yellowish': 1, 'marble': 1, 'flinty': 1, 'grey': 2, 'sanguine': 1, 'red': 1, 'snowy': 1, 'silvery': 2, 'ensanguined': 1, 'black': 5}"
"The Nocturnal Minstrel, Or, The Spirit Of The Wood","Sleath, Eleanor",1810,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://archive.org/details/nocturnalminstr00sleagoog,,,,,,,,,,
"""The Vampyre""","Stagg, John",1810,Romantic,Poetry,Gothic,English,,,,,,Peripheral,"Norton, Gothic Readings",Stagg_TheVampyre_PoetsOrg.txt,https://www.poets.org/print/node/51018,,,,,,,,,,,,[],{}
"Di Montranzo, Or, The Novice Of Corpus Domini. A Romance","Stanhope, Louisa Sidney",1810,Romantic,Novel,Gothic,English,,,,,,Peripheral,"Tracy, The Gothic Novel (via Lawrence Evalyn)",,,,,https://goo.gl/IUj0Rd,,,,,,,,,,
"""The Beggarwoman Of Locrano""","von Kleist, Heinrich",1810,German Romantic,Short Story,Gothic,German,,,,,,Peripheral,Wikipedia: https://en.wikipedia.org/wiki/List_of_gothic_fiction_works,vonKleist_TheBeggarwomanOfLocarno_.txt,http://germanstories.vcu.edu/kleist/bettelweib_e.html,,"Bennett, E. K. ",,,,"Virginia Commonwealth University, 19th Century German Stories",,1999,16-Apr-17,"Godwin-Jones, Robert",,"['straw', 'white']","{'straw': 1, 'white': 1}"
